"user_id","item_id","rank"
512691530,115,1
512691530,217,2
512691530,198,3
512691530,5188,4
512691530,152,5
512691530,5369,6
512691530,5816,7
512691530,201,8
512691530,5441,9
512691530,5335,10
512691530,5268,11
512691530,5648,12
512691530,4392,13
512691530,130,14
512691530,4459,15
512691530,5057,16
512691530,275,17
512691530,174,18
512691530,2955,19
512691530,3026,20
512691530,3082,21
512691530,264,22
512691530,4107,23
512691530,2877,24
512691530,5716,25
512691530,5293,26
512691530,4689,27
512691530,5385,28
512691530,4007,29
512691530,5835,30
512691530,5853,31
512691530,4694,32
512691530,88,33
512691530,5449,34
512691530,2901,35
512691530,3903,36
512691530,5567,37
512691530,2992,38
512691530,2861,39
512691530,5,40
512691530,5042,41
512691530,36,42
512691530,5495,43
512691530,3836,44
512691530,158,45
512691530,206,46
512691530,123,47
512691530,5052,48
512691530,5243,49
512691530,3613,50
512691530,5259,51
512691530,3785,52
512691530,271,53
512691530,936,54
512691530,4806,55
512691530,165,56
512691530,3914,57
512691530,4591,58
512691530,4737,59
512691530,3893,60
512691530,4997,61
512691530,5762,62
512691530,3980,63
512691530,3931,64
512691530,257,65
512691530,5817,66
512691530,2655,67
512691530,2860,68
512691530,70,69
512691530,2580,70
512691530,2763,71
512691530,4515,72
512691530,2816,73
512691530,3881,74
512691530,119,75
512691530,209,76
512691530,5377,77
512691530,535,78
512691530,4626,79
512691530,628,80
512691530,5639,81
512691530,2058,82
512691530,1292,83
512691530,3216,84
512691530,3065,85
512691530,5479,86
512691530,4785,87
512691530,4141,88
512691530,5828,89
512691530,5131,90
512691530,4013,91
512691530,59,92
512691530,160,93
512691530,4058,94
512691530,3690,95
512691530,1189,96
512691530,177,97
512691530,4244,98
512691530,4757,99
512691530,5261,100
519209046,5584,1
519209046,2641,2
519209046,2672,3
519209046,2681,4
519209046,1752,5
519209046,2655,6
519209046,2668,7
519209046,5479,8
519209046,5622,9
519209046,2720,10
519209046,5411,11
519209046,1487,12
519209046,4838,13
519209046,1481,14
519209046,1728,15
519209046,1739,16
519209046,2375,17
519209046,2653,18
519209046,2528,19
519209046,2662,20
519209046,1632,21
519209046,2763,22
519209046,1821,23
519209046,1723,24
519209046,2420,25
519209046,5746,26
519209046,1455,27
519209046,2767,28
519209046,2425,29
519209046,4635,30
519209046,4366,31
519209046,2698,32
519209046,5149,33
519209046,1625,34
519209046,3961,35
519209046,2521,36
519209046,1418,37
519209046,2680,38
519209046,4891,39
519209046,1476,40
519209046,1884,41
519209046,1597,42
519209046,4064,43
519209046,2571,44
519209046,1466,45
519209046,68,46
519209046,1576,47
519209046,4726,48
519209046,1867,49
519209046,4420,50
519209046,4086,51
519209046,1422,52
519209046,1828,53
519209046,1818,54
519209046,2667,55
519209046,1477,56
519209046,2647,57
519209046,2673,58
519209046,1533,59
519209046,1730,60
519209046,1671,61
519209046,1757,62
519209046,2325,63
519209046,3609,64
519209046,1694,65
519209046,1606,66
519209046,5554,67
519209046,1769,68
519209046,2665,69
519209046,5136,70
519209046,5016,71
519209046,5834,72
519209046,1747,73
519209046,5020,74
519209046,5279,75
519209046,2676,76
519209046,2678,77
519209046,4122,78
519209046,2593,79
519209046,2301,80
519209046,2524,81
519209046,2406,82
519209046,1605,83
519209046,1742,84
519209046,1974,85
