"user_id","item_id","rank"
0,122918,1
0,122886,2
0,128360,3
0,122912,4
0,168252,5
0,164909,6
0,174055,7
0,177593,8
0,122924,9
0,139385,10
0,158238,11
0,152077,12
0,135536,13
0,187593,14
0,171763,15
0,182715,16
0,166643,17
0,135143,18
0,161582,19
0,177765,20
0,166635,21
0,166461,22
0,115149,23
0,140956,24
0,134853,25
0,157296,26
0,138036,27
0,135133,28
0,168612,29
0,150548,30
0,137857,31
0,158966,32
0,140174,33
0,168248,34
0,187595,35
0,169984,36
0,165549,37
0,170705,38
0,119145,39
0,185029,40
0,167746,41
0,174909,42
0,183897,43
0,115122,44
0,122898,45
0,162578,46
0,166534,47
0,111781,48
0,175303,49
0,117529,50
0,149334,51
0,168366,52
0,152970,53
0,122890,54
0,140715,55
0,135436,56
0,162606,57
0,168326,58
0,163645,59
0,180297,60
0,173941,61
0,112852,62
0,182823,63
0,173291,64
0,187541,65
0,159093,66
0,134368,67
0,168254,68
0,127108,69
0,160980,70
0,176101,71
0,180497,72
0,158872,73
0,122882,74
0,118696,75
0,112552,76
0,169864,77
0,179817,78
0,135567,79
0,175569,80
0,158783,81
0,133645,82
0,161922,83
0,122896,84
0,106920,85
0,139855,86
0,166946,87
0,136562,88
0,177763,89
0,179401,90
0,128838,91
0,106072,92
0,168492,93
0,107406,94
0,110102,95
0,188301,96
0,162350,97
0,179119,98
0,149406,99
0,102903,100
1,122922,1
1,168248,2
1,122912,3
1,135536,4
1,168250,5
1,122920,6
1,168252,7
1,122904,8
1,135569,9
1,148626,10
1,136864,11
1,122924,12
1,179819,13
1,168254,14
1,171763,15
1,152077,16
1,158238,17
1,122886,18
1,122916,19
1,180031,20
1,149334,21
1,143385,22
1,122926,23
1,174055,24
1,173291,25
1,135143,26
1,115149,27
1,173145,28
1,177593,29
1,175303,30
1,122898,31
1,142488,32
1,122906,33
1,136020,34
1,152081,35
1,185029,36
1,163645,37
1,166534,38
1,175197,39
1,135567,40
1,135133,41
1,170827,42
1,115122,43
1,122896,44
1,162376,45
1,111781,46
1,182823,47
1,134853,48
1,122882,49
1,138036,50
1,158966,51
1,162600,52
1,189333,53
1,140267,54
1,187595,55
1,165347,56
1,122890,57
1,159093,58
1,192389,59
1,140174,60
1,120466,61
1,115713,62
1,161582,63
1,159415,64
1,162578,65
1,174053,66
1,183611,67
1,166643,68
1,106920,69
1,164821,70
1,122892,71
1,188301,72
1,162414,73
1,177765,74
1,177615,75
1,146656,76
1,176751,77
1,179401,78
1,160980,79
1,541,80
1,174909,81
1,164175,82
1,163134,83
1,106782,84
1,159817,85
1,168344,86
1,170705,87
1,166461,88
1,175569,89
1,168266,90
1,150548,91
1,119145,92
1,176419,93
1,152970,94
1,167370,95
1,189203,96
1,122902,97
1,164909,98
1,68237,99
1,170875,100
2,161582,1
2,140174,2
2,127108,3
2,165549,4
2,152970,5
2,136562,6
2,128360,7
2,165551,8
2,166946,9
2,162414,10
2,166643,11
2,178061,12
2,139385,13
2,139644,14
2,180031,15
2,158238,16
2,157699,17
2,140928,18
2,140110,19
2,149334,20
2,177615,21
2,168250,22
2,179817,23
2,174055,24
2,171763,25
2,146656,26
2,122886,27
2,155659,28
2,170697,29
2,180045,30
2,177593,31
2,152077,32
2,133645,33
2,139855,34
2,122904,35
2,170705,36
2,145418,37
2,163645,38
2,166486,39
2,173941,40
2,166528,41
2,152081,42
2,130576,43
2,152083,44
2,177651,45
2,134130,46
2,158783,47
2,141749,48
2,138036,49
2,140715,50
2,135133,51
2,141890,52
2,182819,53
2,162598,54
2,155288,55
2,179119,56
2,180297,57
2,166635,58
2,143476,59
2,159415,60
2,150856,61
2,166024,62
2,155874,63
2,166568,64
2,160438,65
2,156371,66
2,122922,67
2,115713,68
2,137857,69
2,122918,70
